البرنامجالأكاديمي;Academic Program;ACAPRO
كيمياء;Chemistry;CHE
الهندسةالكيميائية;Chemical Engineering;CHEENG
التقنيةالكيميائية;Chemical Technology;CHETEC
دراساتالطفولة;Childhood Studies;CHISTU
تخطيطالمدنوالأقاليم;City And Regional Planning;CITANDREGPLA
التقنيةالمدنيةوالمعمارية;Civil And Architectural Technology;CIVANDARCTEC
تقنيةمدنيةومعمارية;Civil And Architectural Technique;CIVANDARCTEC1
الهندسةالمدنية;Civil Engineering;CIVENG
الهندسةالمدنية(تجسير);Civil Engineering (bridging);CIVENGBRI
هندسةمدنية;Civil Engineering;CIVENG
تقنيةمدنيةمعمارية;Civilian Technology Architecture;CIVTECARC
الكيمياءالحيويةالسريرية;Clinical Biochemistry;CLIBIO
علومالمختبراتالإكلينيكية;Clinical Laboratory Sciences;CLILABSCI
علومالمختبراتالإكلينيكي;Clinical Laboratory Sciences;CLILABSCI
التغذيةالأكلينيكية;Clinical Nutrition;CLINUT
التغذيةالسريرية;Clinical Nutrition;CLINUT
الصيدلةالسريرية;Clinical Pharmacy;CLIPHA
الصيدلةالإكلينيكية;Clinical Pharmacy;CLIPHA
الدراساتالإكلينيكية;Clinical Studies;CLISTU
الملابسوالنسيج;Clothing And Textiles;CLOANDTEX
الاتصالاتوشبكاتالحاسب;Communications & Computer Networks;COMCOMNET
قسمالحاسبالآلي;Computer Department;COMDEP
اتصالات;Communication;COM
صحةالمجتمع;Community Health;COMHEA
تمريضصحةالمجتمعوالصحةالنفسية;Community Health And Mental Health Nursing;COMHEAANDMENHEANUR
الاتصالوالإعلام;Communication And Information;COMANDINF
القانونالتجاري;Commercial Law;COMLAW
خدمةمجتمع;Community Service;COMSER
تقنيةالاتصالات;Communication Technology;COMTEC
شبكاتالحاسب;Computer Networks;COMNET
شبكاتالحاسبالآلي;Computer Networks;COMNET
الحاسبالالي;Computer;COM1
الحاسبالآلي;Computer;COM1
حاسبآلي;Computer;COM1
الحاسب;Computer;COM1
تطبيقاتالحاسبالآلي;Computer Applications;COMAPP
هندسةالحاسب;Computer Engineering;COMENG
هندسةالحاسبالآلي;Computer Engineering;COMENG
نظمالمعلوماتالحاسوبية;Computer Information Systems;COMINFSYS
علومالحاسبوالمعلومات;Computer And Information Sciences;COMANDINFSCI
الحاسبونظمالمعلومات;Computer And Information Systems;COMANDINFSYS
الحاسبالآليوتقنيةالمعلومات;Computer And Information Technology;COMANDINFTEC
الفقهالمقارن;Comparative Jurisprudence;COMJUR
إدارةشبكاتالحاسبالآلي;Computer Network Management;COMNETMAN
علومالحاسبالآليونظمالمعلومات;Computer Science And Information Systems;COMSCIANDINFSYS
علومالحاسب;Computer Science;COMSCI
علومالحاسبالآلي;Computer Science;COMSCI
علومالحاسبات;Computer Science;COMSCI
علومحاسب;Computer Science;COMSCI
علوموهندسةالحاسب;Computer Science And Engineering;COMSCIANDENG
تقنيةالحاسب;Computer Technology;COMTEC1
تقنيةالحاسبالآلي;Computer Technology;COMTEC1
هندسةالتشييد;Construction Engineering;CONENG
هندسةوإدارةالتشييد;Construction Engineering And Management;CONENGANDMAN
مجلسبرنامجماجستيرالتنوعالإحيائي;Council Master Biodiversity Program;COUMASBIOPRO
العقيدة;Creed;CRE
القانونالجنائي;Criminal Law;CRILAW
زراعةالأراضيالقاحلة;The Cultivation of Arid Lands;THECULARILAN
المناهجوطرقالتدريس;Curriculum And Instruction;CURANDINS
مناهجوطرقتدريسالعلومالشرعية;Curricula And Teaching Methods of Forensic Science;CURANDTEAMETFORSCI
مناهجوطرقتدريسالرياضيات;Curricula And Methods of Teaching Mathematics;CURANDMETTEAMAT
مناهجوطرقتدريس;Curriculum And Teaching Methods;CURANDTEAMET
المناهجوتكنولوجياالتعليم;Curriculum And Technology Education;CURANDTECEDU
التاريخ;Date;DAT
الدعوةوأصولالدين;Dawa And Fundamentals of Religion;DAWANDFUNREL
الدعوةوالثقافةالإسلامية;Dawa Islamic Culture;DAWISLCUL
الدعوةوالثقافةالاسلامية;Dawa Islamic Culture;DAWISLCUL
عمادةالتعليمعنبعد-تأهيلية;Deanship of Distance Learning - Qualifying;DEADISLEAQUA
رعايةصحةالأسنان;Dental Health Care;DENHEACAR
طبوجراحةالفموالأسنان;Dental And Oral Surgery;DENANDORASUR
طبوجراحةالأسنان;Dental Surgery;DENSUR
تقنيةالأسنان;Dental Technology;DENTEC
طبأسنانعام;Dentistry In;DENIN
طبالأسنان;Dentistry;DEN
إدارةخدماتصحية;Department of Health Services;DEPHEASER
تصميمالملابسوالحلي;Design Clothes And Ornaments;DESCLOANDORN
الأشعةالتشخيصية;Diagnostic Radiology;DIARAD
برامجالدبلوملحملةالشهاداتالجامعية;Diploma Holders of University Degree Programs;DIPHOLUNIDEGPRO
برامجالدبلوملحملةالثانويةالعامةأومايعادلها;Diploma Programs For High School Campaign Or Equivalent;DIPPROFORHIGSCHCAMOREQU
العقيدةوالمذاهبالمعاصرة;Doctrine And Contemporary Doctrines;DOCANDCONDOC
العقيدةوالمذاهبالمعاصره;Dogma And Doctrines Contemporary;DOGANDDOCCON
الإصلاحالأسري;Domestic Reform;DOMREF
عمادةالبرامجالتحضيرية;Deanship Preparatory Programs;DEAPREPRO
الدبلومالتأهيليلأعمالالسكرتارية;Diploma Qualifying For Secretarial Work;DIPQUAFORSECWOR
العقاقير;Drugs;DRU
الاقتصاد;Economy;ECO
اقتصادوادارة;Economics And Administration;ECOANDADM
الاقتصادوالعلومالإدارية;Economics And Administrative Sciences;ECOANDADMSCI
اقتصادوادارةغيرمحدد;Economics And Administration Unknown;ECOANDADMUNK
الاقتصادوالتمويل;Economics And Finance;ECOANDFIN
التجارةالإلكترونية;E-commerce;ECOM
التربية;Education;EDU
تربوي(موازي);Educational (parallel);EDUPAR
الإدارةالتربوية;Educational Administration;EDUADM
الادارةالتربوية;Educational Administration;EDUADM
الإدارةالتعليمية;Educational Administration;EDUADM
التربيةفيالإدارةوالإشرافالتربوي;Education In Educational Administration And Supervision;EDUINEDUADMANDSUP
دبلومتربوي;Educational Diploma;EDUDIP
التوجيةوالارشادالتربوي;Educational Guidance And Counseling;EDUGUIANDCOU
التربيةوالتنميةالبشرية;Education And Human Development;EDUANDHUMDEV
التربيةورياضالأطفال;Education And Kindergartens;EDUANDKIN
التربيةفيوسائلوتكنولوجياالتعليم;Education In the Media And Technology Education;EDUINMEDANDTECEDU
السياساتالتربوية;Educational Policies;EDUPOL
علمالنفسالتربوي;Educational Psychology;EDUPSY
التربيةوعلمالنفس;Education And Psychology;EDUANDPSY
العلومالتربوية;Educational Sciences;EDUSCI
تقنياتالتعليم;Education Technology;EDUTEC
الآثار;Effects;EFF
الهندسةالكهربائيةوهندسةالحاسبات;Electrical And Computer Engineering;ELEANDCOMENG
الهندسةالكهربائية;Electrical Engineering;ELEENG
الهندسةالكهربائية(تجسير);Electrical Engineering (bridge);ELEENGBRI
هندسةكهربائية;Electrical Engineering;ELEENG
تقنيةهندسةالقوىالكهربائية;Electrical Power Engineering Technology;ELEPOWENGTEC
قوىكهربائية;Electric Power;ELEPOW
تقنيةالقوىالكهربائية;Electrical Power Technology;ELEPOWTEC
التقنيةالكهربائية;Electrical;ELE
التقنيةالإلكترونية;Electronic Tech;ELETEC
الإسعافوالطوارئ;Emergency;EME
طبالطوارئ;Emergency Medicine;EMEMED
تقنيةطبالطوارئ;Emergency Medicine Technology;EMEMEDTEC
تمريضطوارئ;Emergency Nursing;EMENUR
الهندسة;Engineering;ENG
عامهندسة;In Engineering;INENG
هندسة;Engineering;ENG
العلومالهندسيةوالتطبيقية;Engineering And Applied Science;ENGANDAPPSCI
اللغةالإنجليزية;English Language;ENGLAN
اللغةالانجليزية;English Language;ENGLAN
اللغةالإنجليزيةوآدابها;English Language And Literature;ENGLANANDLIT
الإدارةالهندسية;Engineering Management;ENGMAN
العلومالهندسية;Engineering Sciences;ENGSCI
صحةالبيئة;Environmental Health;ENVHEA
العلومالبيئية;Environmental Science;ENVSCI
تقنيةالبيئة;Environmental Technology;ENVTEC
الوبائيات;Epidemiology;EPI
اللغاتالأوروبيةوآدابها;European Languages ​​and Literature;EURLANANDLIT
إدارةالخدماتالصحيةوالمستشفياتالتنفيذي;Executive Management of Health Services And Hospitals;EXEMANHEASERANDHOS
الماجستيرالتنفيذيفيإدارةالأعمال;Executive Master of Business Administration;EXEMASBUSADM
برنامجالماجستيرالتنفيذيفيإدارةالأعمال;Executive Master of Business Administration;EXEMASBUSADM
الماجستيرالتنفيذيفيإدارةالأغمال;Executive Master In Management Alogmal;EXEMASINMANALO
أسرةوطفولة;Family And Children;FAMANDCHI
علومالأسرةوالطفولة;Family And Children Science;FAMANDCHISCI
طبالعائلةوالمجتمع;Family And Community Medicine;FAMANDCOMMED
الإرشادالأسري;Family Counseling;FAMCOU
الإرشادالإسري;Family Counseling;FAMCOU
طبالأسرةوالمجتمع;Family Medicine;FAMMED
العلومالماليةوالإدارية;Financial And Administrative Sciences;FINANDADMSCI
المالية;Finance;FIN
تصاميمالأزياء;Fashion Designs;FASDES
تصميمالأزياء;Fashion Design;FASDES1
المحاسبةالمالية;Financial Accounting;FINACC
الإدارةالمالية;Financial Administration;FINADM
العلومالإداريةوالماليةوتقنياتها;Administrative And Financial Sciences And Technologies;ADMANDFINSCIANDTEC
ماليةوبنوك;Financial And Banks;FINANDBAN
الماليةوالاقتصاد;Finance And Economy;FINANDECO
التمويلوالاستثمار;Finance And Investment;FINANDINV
إدارةمالية;Financial Management;FINMAN
العلومالمالية;Financial Sciences;FINSCI
التربيةالأسرية;Family Life Education;FAMLIFEDU
الفقه;Fiqh;FIQ
علومالأغذيةوالتغذية;Food Science And Nutrition;FOOSCIANDNUT
الغذاءوالتغذية;Food And Nutrition;FOOANDNUT
علومالغذاءوالتغذية;Food Science And Nutrition;FOOSCIANDNUT
تقنيةالتصنيعالغذائي;Food Processing Technology;FOOPROTEC
تقنيةالإنتاجالغذائي;Food Production Technology;FOOPROTEC1
علومالأغذية;Food Science;FOOSCI
علومالأغذيةوتغذيةالإنسان;Food Science And Human Nutrition;FOOSCIANDHUMNUT
اللغاتالأجنبية;Foreign Languages;FORLAN
أصولالتربية;Foundations of Education;FOUEDU
اللغةالفرنسيةوالترجمة;French Language And Translation;FRELANANDTRA
إدارةعامة;General Administration;GENADM
الإدارةالعامة;The General Administration;THEGENADM
الدبلومالعام;General Diploma;GENDIP
الدبلومالعامفيالتربية;General Diploma In Education;GENDIPINEDU
الدبلومالتربويالعام;General Educational Diploma Program;GENEDUDIPPRO
برنامجالدبلومالتربويالعام;General Education Diploma Program;GENEDUDIPPRO1
دبلومالتربيةالعام;General Education Diploma;GENEDUDIP
الجيولوجياالعامة;General Geology;GENGEO
عامصحة;General Health;GENHEA
الموادالعامة;General Materials;GENMAT
طبوجراحةعامة;General Medicine And Surgery;GENMEDANDSUR
عامعلوم;General Science;GENSCI
الدراساتالعامة;General Studies;GENSTU
علومالأرض;Geology;GEO
الجيولوجيا;Geology;GEO
الجغرافيا;Geography;GEO1
المسارالهندسي;Geometric Path;GEOPAT
الدرساتالعليا-برنامجالماجستير;Graduate Studies - Master's Program;GRASTUMASSPRO
النحووالصرفوفقهاللغة;Grammar And Philology;GRAANDPHI
الرسموالفنون;Graphic Arts;GRAART
التصميمالجرافيكي;Graphic Design;GRADES
تصميمالرسومات;Graphic Design;GRADES
توجيهوإرشاد(موازي);Guidance And Counseling (parallel);GUIANDCOUPAR
توجيهوإرشادطلابي;Guidance And Counseling For Students;GUIANDCOUFORSTU
التوجيهوالإرشادالطلابي;Guidance And Counseling Students;GUIANDCOUSTU
دبلومالتوجيهوالارشادالطلابي;Guidance And Counseling Students Diploma;GUIANDCOUSTUDIP
التوجيهوالإرشادالنفسي;Guidance And Psychological Counseling;GUIANDPSYCOU
الحديثالشريفوالدراساتالإسلامية;The Hadith And Islamic Studies;THEHADANDISLSTU
الحديثوعلومة;Hadith And Its Sciences;HADANDITSSCI
الحديثوعلومه;Hadith And Its Sciences;HADANDITSSCI
المعلوماتيةالصحية;Health Informatics;HEAINF
إدارةمعلوماتصحية;Health Information Management;HEAINFMAN
الإدارةالصحية;Health Management;HEAMAN
البرامجالصحية;Health Programs;HEAPRO
العلومالصحية;Health Sciences;HEASCI
إدارةالأنظمةوالجودةالصحية;Health Systems Management And Quality;HEASYSMANANDQUA
المسارالصحي;Health Track;HEATRA
اقتصادمنزلي;Home Economics;HOMECO
التاريخوالحضارةالاسلامية;History And Islamic Civilization;HISANDISLCIV
التاريخوالحضارةالإسلامية;History And Islamic Civilization;HISANDISLCIV
التاريخوالحضارة;History And Civilization;HISANDCIV
الاقتصادالمنزلي;Home Economics;HOMECO
الاقتصادالمنزليالتربوي;Home Economics Education;HOMECOEDU
السكنوإدارةالمؤسسات;Housing And Management Institutions;HOUANDMANINS
السكنوإدارةالمنزل;Housing And Home Management;HOUANDHOMMAN
القرآنالكريموالدراساتالإسلامية;Holy Quran And Islamic Studies;HOLQURANDISLSTU
إدارةمواردبشرية;Hr Management;HRMAN
الدراساتالإنسانية;Humanities;HUM
العلومالإنسانية;Humanities;HUM
البرامجالإنسانية;Humanitarian Programs;HUMPRO
الطبالبشري;Human Medicine;HUMMED
المواردالبشرية;Human Resources;HUMRES
مواردبشرية;Human Resources;HUMRES
إدارةالمواردالبشرية;Human Resource Management;HUMRESMAN
العلومالإنسانيةوتقنياتها;Humanities And Technologies;HUMANDTEC
الإمامةوالخطابة;Imamate And Rhetoric;IMAANDRHE
تخصصعام;Industry In;INDIN
الهندسةالصناعية;Industrial Engineering;INDENG
تقنيةالإدارةالصناعية;Industrial Management Technology;INDMANTEC
تقنيةالمعلوماتوالحاسبالآلي;Information And Computer Technology;INFANDCOMTEC
المعلوماتومصادرالتعلم;Information And Learning Resources;INFANDLEARES
شبكاتالمعلومات;Information Networks;INFNET
إدارةالمعلومات;Information Management;INFMAN
علومالمعلومات;Information Sciences;INFSCI
أمنالمعلومات;Information Security;INFSEC
علمالمعلومات;Information Science;INFSCI1
نظمالمعلومات;Information Systems;INFSYS
تقنيةالمعلومات;Information Technology;INFTEC
التصميمالداخلي;Interior Design;INTDES
هندسةالتصميمالداخلي;Interior Design Engineering;INTDESENG
العلاقاتالدولية;International Relations;INTREL
التفسير;Interpretation;INT
العمارةالإسلامية;Islamic Architecture;ISLARC
الثقافةالإسلامية;Islamic Culture;ISLCUL
الاقتصادالإسلامي;Islamic Economics;ISLECO
الإقتصادالإسلامي;Islamic Economics;ISLECO
التاريخالإسلامي;Islamic History;ISLHIS
السياسةالشرعية;Islamic Politics;ISLPOL
التربيةالإسلامية;Islamic Principals;ISLPRI
الدراساتالإسلامية;Islamic Studies;ISLSTU
الدراساتالاسلامية;Islamic Studies;ISLSTU
دراساتإسلامية;Islamic Studies;ISLSTU
الأعمالالمشترك;Joint Business;JOIBUS
البرنامجالمشترك;The Joint Program;THEJOIPRO
أصولالفقه;Jurisprudence;JUR
فقه;Jurisprudence;JUR
القضاءوالسياسةالشرعية;The Judiciary And the Political Legitimacy;THEJUDANDPOLLEG
فقهالسنةومصادرها;The Jurisprudence of the Year And Sources;THEJURYEAANDSOU
الدراساتالقضائية;Judicial Studies;JUDSTU
رياضأطفال;Kindergartens;KIN
رياضالأطفال;Kindergarten;KIN1
القرانالكريموالدراساتالإسلامية;The Koran And Islamic Studies;THEKORANDISLSTU
علومالمختبراتافكلينيكية;Laboratory Sciences Avkleniecah;LABSCIAVK
تقنيةالمختبرات;Laboratory Technology;LABTEC
اللغةوالثقافة;Language And Culture;LANANDCUL
اللغاتوالترجمة;Languages ​​and Translation;LANANDTRA
القانون;Law;LAW
المحاماة;Lawyer;LAW1
عامالشريعة;In Law;INLAW
قانون;Law;LAW
القانونوالممارسةالمهنية;Law And Professional Practice;LAWANDPROPRA
الريادةفيالأعمال;Leadership In Business;LEAINBUS
صعوباتتعلم(موازي);Learning Difficulties (parallel);LEADIFPAR
مراكزمصادرالتعلم;Learning Resource Centers;LEARESCEN
علمالمكتباتوالمعلومات;Library And Information Science;LIBANDINFSCI
التحريروالسكرتارية;Liberation And Secretarial;LIBANDSEC
علومالحياة;Life Sciences;LIFSCI
اللغويات;Linguistics;LIN
عامالإعداداللغوي;In the Linguistic Preparation;INLINPRE
السنةالتحضيريةللكلياتالأدبية;Literary Preparatory Year For Colleges;LITPREYEAFORCOL
الأدبوالبلاغة;Literature And Rhetoric;LITANDRHE
الإمدادوالتموين;Logistics;LOG
علومالمحتبراتالطبية;Mahnbarat Medical Sciences;MAHMEDSCI
صيانةالمعداتالطبية;Maintenance of Medical Equipment;MAIMEDEQU
نظمالمعلوماتالإدارية;Management Information Systems;MANINFSYS
نظممعلوماتإدارية;Management Information Systems;MANINFSYS
الإدارةوالتسويق;Management And Marketing;MANANDMAR
الإدارةوالتسويقوريادةالأعمال;Management, Marketing And Entrepreneurship;MANMARANDENT
إدارةوتعليمالتمريض;Management And Nursing Education;MANANDNUREDU
نظممعلوماتجغرافيةوخرائط;Maps And Geographic Information Systems;MAPANDGEOINFSYS
الأحياءالبحرية;Marine Biology;MARBIO
الكيمياءالبحرية;Marine Chemistry;MARCHE
الفيزياءالبحرية;Marine Physics;MARPHY
الماجستيرفيإدارةالأعمال;Master of Business Administration;MASBUSADM
ماجستيرادارةالأعمال;Master of Business Administration;MASBUSADM
برنامجماجستيرالعلومفيتحليةالمياةالمشترك;Master of Science Program In the Joint Desalination;MASSCIPROINJOIDES
الماجستيرفيإدارةالمواردالبشرية;Master's Degree In Human Resources Management;MASSDEGINHUMRESMAN
تمريضصحةالأمومةوالطفولة;Maternal And Child Health Nursing;MATANDCHIHEANUR
الرياضيات;Mathematics;MAT
رياضيات;Mathematics;MAT
العلومالرياضية;Mathematical Sciences;MATSCI
الرياضياتوالإحصاء;Mathematics And Statistics;MATANDSTA
القياسوالتقويم;Measurement And Evaluation;MEAANDEVA
وسائلوتكنولوجياالتعليم;Means And Technology Education;MEAANDTECEDU
الهندسةالميكانيكية;Mechanical Engineering;MECENG
هندسةميكانيكية;Mechanical Engineering;MECENG
تقنيةالهندسةالميكانيكية;Mechanical Engineering Technology;MECENGTEC
التقنيةالميكانيكية;Mechanical Technology;MECTEC
الطب;Medicine;MED
طببشري;Medicine;MED
الإعلاموالأتصال;Media And Communication;MEDANDCOM
تقنيةالأجهزةالطبية;Medical Device Technology;MEDDEVTEC
التعليمالطبي;Medical Education;MEDEDU
التوعيةوالتعزيزالطبي;Medical Education And Promotion;MEDEDUANDPRO
الوبائياتوالإحصاءالطبيالحيوي;Medical Epidemiology And Vital Statistics;MEDEPIANDVITSTA
الطبوالجراحةالعامة;Medicine And General Surgery;MEDANDGENSUR
الإعلام;Media;MED1
الاعلام;Media;MED1
المختبراتالطبية;Medical Laboratory;MEDLAB
مختبراتطبية;Medical Labs;MEDLAB1
علومالمختبراتالطبية;Medical Laboratory Science;MEDLABSCI
تقنيةالمختبراتالطبية;Medical Laboratory Technology;MEDLABTEC
فنيالمختبراتالطبية;Medical Laboratory Technician;MEDLABTEC1
الكائناتالدقيقةالطبية;Medical Microbiology;MEDMIC
السجلاتالطبية;Medical Records;MEDREC
نظمالسجلاتالطبية;Medical Records Systems;MEDRECSYS
السكرتاريةالطبية;Medical Secretary;MEDSEC
سكرتاريةطبية;Medical Secretary;MEDSEC
القسمالطبي;Medical Section;MEDSEC1
الطبوالجراحة;Medicine And Surgery;MEDANDSUR
طبوجراحة;Medicine And Surgery;MEDANDSUR
التمريضالطبيالجراحي;Medical Surgical Nursing;MEDSURNUR
القبالة;Midwifery;MID
محضريمختبرات;Minutes of Laboratories;MINLAB
التسويق;Marketing;MAR
تسويق;Marketing;MAR
التسويقوالتجارةالإلكترونية;Marketing And E-commerce;MARANDECOM
التسويقوالإدارة;Marketing And Management;MARANDMAN
علومالحديث;Modern Science;MODSCI
تمريضباطنيوجراحي;Mystical And Surgical Nursing;MYSANDSURNUR
النواتجالطبيعية;Natural Products;NATPRO
الطبيعيةوالهندسية;Natural And Engineering;NATANDENG
العلاجالطبيعي;Natural Therapy;NATTHE
هندسةالشبكات;Network Engineering;NETENG
طبالأعصاب;Neurology;NEU
مستجد;Newcomer;NEW
مستجدالعلوموالآداب;Newcomer of Arts And Sciences;NEWARTANDSCI
مستجدالحاسباتوتقنيةالمعلومات;Newcomer Computing And Information Technology;NEWCOMANDINFTEC
مستجدآداب;Newcomer Etiquette;NEWETI
مستجدادب;Newcomer Literature;NEWLIT
مستجدعلوم;Newcomer Sciences;NEWSCI
مستجدعلوموهندسةالحاسبات;Newcomer Science And Computer Engineering;NEWSCIANDCOMENG
غيرمتخصص;Non-specialist;NONSPE
الهندسةالنووية;Nuclear Engineering;NUCENG
الطبالنووي;Nuclear Medicine;NUCMED
التمريض;Nursing;NUR
تجسيرتمريضعام;Nursing Bridging Year;NURBRIYEA
تمريض;Nursing;NUR
تمريضعام;In Nursing;INNUR
عامتمريض;In Nursing;INNUR
تمريضالحالاتالحرجة;Nursing Critical Situations;NURCRISIT
علومالتمريض;Nursing Science;NURSCI
علومتمريض;Nursing Science;NURSCI
فنيتمريض;Nursing Technician;NURTEC
التغذيةوعلومالأطعمة;Nutrition And Food Science;NUTANDFOOSCI
النساءوالولادة;Obstetrics And Gynecology;OBSANDGYN
الإدارةالمكتبية;Office Management;OFFMAN
إدارةالعملياتوالمعلومات;Operations And Information Management;OPEANDINFMAN
البصريات;Optics;OPT
جراحةالوجهوالفكين;Oral And Maxillofacial Surgery;ORAANDMAXSUR
صحةالفموالأسنان;Oral And Dental Health;ORAANDDENHEA
أخرى;Other;OTH
طبوجراحةالعيون;Ophthalmology;OPH
علمالأمراض;Pathology;PAT
طبالأطفال;Pediatrics;PED
طبأسنانالأطفالوتقويمالأسنان;Pediatric Dentistry And Orthodontics;PEDDENANDORT
تمريضالأطفال;Pediatric Nursing;PEDNUR
هندسةالبترول;Petrol Engineering;PETENG
الصيدلة;Pharmacy;PHA
الصيدلانيات;Pharmaceutics;PHA1
صيدلة;Pharmacy;PHA
الكيمياءالصيدلية;Pharmaceutical Chemistry;PHACHE
علمالأدوية;Pharmacology;PHA2
علومالأدوية;Pharmaceutical Sciences;PHASCI
الصيدلةوالعلومالطبية;Pharmacy And Medical Sciences;PHAANDMEDSCI
العلومالصيدلية;Pharmaceutical Sciences;PHASCI
فنيصيدلة;Pharmacy Technician;PHATEC
الفيزياء;Physics;PHY
فيزياء;Physics;PHY
الفيزياءوالفلك;Physics And Astronomy;PHYANDAST
التربيةالبدنية;Physical Education;PHYEDU
التربيةالرياضيةوعلومالحركة;Physical Education And Movement Sciences;PHYEDUANDMOVSCI
التربيةالبدنيةوالعلومالرياضية;Physical Education And Sports Science;PHYEDUANDSPOSCI
الطبالطبيعيوإعادةالتأهيل;Physical Medicine And Rehabilitation;PHYMEDANDREH
علاجطبيعي;Physiotherapy;PHY1
علموظائفالأعضاء;Physiology;PHY2
وظائفالأعضاء;Physiology;PHY2
العلاجالطبيعيوالتأهيلالصحي;Physiotherapy And Rehabilitation;PHYANDREH
