المجتمعبأبيعريش;Abu Arish Community;ABUARICOM
العلومالطبيةالتطبيقيةبحفرالباطن;Applied Medical Sciences Hafr Al-batin;APPMEDSCIHAFALBAT
العلومالطبيةالتطبيقيةبأبها;Applied Medical Sciences In Abha;APPMEDSCIINABH
العلومالطبيةالتطبيقيةبالخرج;Applied Medical Sciences In Al-kharj;APPMEDSCIINALKHA
العلومالطبيةالتطبيقيةبخميسمشيط;Applied Medical Sciences In Khamis Mushayt;APPMEDSCIINKHAMUS
العلومالطبيةالتطبيقيةبالرياض;Applied Medical Sciences In Riyadh;APPMEDSCIINRIY
العلومالطبيةالتطبيقيةبواديالدواسر;Applied Medical Sciences In Wadi Propellants;APPMEDSCIINWADPRO
العلومالطبيةالتطبيقيةبينبع;Applied Medical Sciences In Yanbu;APPMEDSCIINYAN
العلومالطبيةالتطبيقيةبالمجمعة;Applied Medical Sciences Majma'ah;APPMEDSCIMAJAH
العلومالطبيةالتطبيقيةبالزلفي;Applied Medical Sciences Zulfi;APPMEDSCIZUL
العلومالتطبيقية;Applied Science;APPSCI
الدراساتالتطبيقيةوخدمةالمجتمع;Applied Studies And Community Service;APPSTUANDCOMSER
كلياتالشرقالعربيللدراساتالعليا;Arab East Graduate Studies And Colleges;ARAEASGRASTUANDCOL
اللغةالعربية;Arabic Language;ARALAN
اللغةالعربيةوآدابها;Arabic Language And Its Literature;ARALANANDITSLIT
اللغةالعربيةوالدراساتالاجتماعية;Arabic Language And Social Studies;ARALANANDSOCSTU
اللغةالعربيةوالدراساتالإجتماعية;Arabic Language And Social Studies;ARALANANDSOCSTU
معهداللغةالعربية;Arabic Language Institute;ARALANINS
المجتمعبعرعر;Arar Community;ARACOM
الهندسةالمعماريةوالتصميمالرقمي;Architecture And Digital Design;ARCANDDIGDES
العمارةوالتخطيط;Architecture And Planning;ARCANDPLA
التصاميموالفنون;Art And Design;ARTANDDES
الآداب;Arts;ART
الآدابوالعلومالإنسانيةبينبع;Arts & Humanities Yanbu;ARTHUMYAN
الآدابوالعلومالإنسانية;Arts And Humanities;ARTANDHUM
الادابوالعلومالانسانية;Arts And Humanities;ARTANDHUM
الفنونوالتصميمالداخلي;Arts And Interior Design;ARTANDINTDES
الآدابوالإدارةببيشة;Arts And Management Bouaphh;ARTANDMANBOU
الآدابوالعلوم;Arts And Sciences;ARTANDSCI
العلوموالآداب;Arts And Sciences;ARTANDSCI
العلوموالآداب-فرعالبنات;Arts And Sciences - Cob;ARTANDSCICOB
العلوموالآدابببريدة;Arts And Sciences In Buraidah;ARTANDSCIINBUR
العلوموالآداببالرس;Arts And Sciences In Buraidah;ARTANDSCIINBUR
العلوموالآداببعقلةالصقور;Arts And Sciences In His Mind Hawks;ARTANDSCIINHISMINHAW
العلوموالآداببأحدرفيدة;Arts And Sciences In One of the Rafidah;ARTANDSCIINONERAF
العلوموالآداببعيونالجواء;Arts And Sciences In the Eyes of the Valley;ARTANDSCIINEYEVAL
الآدابوالعلومبواديالدواسر;Arts And Sciences In Wadi Propellants;ARTANDSCIINWADPRO
الآدابللبناتبأبها;Arts For Girls In Abha;ARTFORGIRINABH
الآداببالدمام;Arts In Dammam;ARTINDAM
المجتمعبمحايلعسير;Asir Community Bmhaal;ASICOMBMH
المجتمعببدر;Badr Community;BADCOM
الباحةالأهليةللعلوم;Baha Civil Sciences;BAHCIVSCI
المجتمعبحريملاء;Bharimlae Community;BHACOM
خدمةالمجتمعبشرورة;Bhrorh Community Service;BHRCOMSER
البترجيللعومالصحيةوالتكنولوجياالأهلية;Bmc Health Floated Civil And Technology;BMCHEAFLOCIVANDTEC
المجتمعبعنيزة-إنتقالي;Bnizp Community - a Transition;BNICOMTRA
الكليةالتقنيةببريدة;Buraidah College of Technology;BURCOLTEC
المجتمعببريدة-انتقالي;Buraidah Society - Transitional;BURSOCTRA
الأعمال;Business;BUS
الأعمالبرابغ;Business (cob);BUSCOB
إدارةأعمال;Business Administration;BUSADM
إدارةالأعمالبعرعر;Business Administration Arar;BUSADMARA
إدارةالأعمالبعفيف;Business Administration Bafeef;BUSADMBAF
إدارةالأعمالبحوطةبنيتميم;Business Administration Hotat Bani Tamim;BUSADMHOTBANTAM
إﺩﺍﺭﺓﺍﻷﻋﻤﺎﻝﺑﺎﻟﺨﺮﺝ;Business Administration In Al-kharj;BUSADMINALKHA
إدارةالأعمالبينبع;Business Administration In Yanbu;BUSADMINYAN
إدارةالأعمالبالزلفي;Business Administration Zulfi;BUSADMZUL
الأعمالوالإدارة;Business And Management;BUSANDMAN
الأعمالبالرس;Business Buraidah;BUSBUR
الاعمالفرعالكامل;Business Full Branch;BUSFULBRA
الأعمالبخليص;Business Khulais;BUSKHU
إدارةالأعمال;Business Management;BUSMAN
الاعمالفرعشمالجدة;Business North Branch;BUSNORBRA
الأعمالفرعرابغ;Business Rabigh Branch;BUSRABBRA
الصيدلةالسريرية;Clinical Pharmacy;CLIPHA
العلومالاجتماعية;Cocial Science;COCSCI
الاتصالوالإعلام;Communication And Information;COMANDINF
الاتصالاتوالمعلوماتبالرياض;Communication And Information In Riyadh;COMANDINFINRIY
الاتصالاتوالإلكترونياتبجدة;Communications And Electronics In Jeddah;COMANDELEINJED
المجتمع;Community;COM
المجتمعبالدوادمي;Community Aldawadmi;COMALD
المجتمعبالحناكية;Community Balhnakah;COMBAL
المجتمعبالنماص;Community Balnmas;COMBAL1
المجتمعبشقراء;Community Bhqra;COMBHQ
المجتمعبسكاكا;Community Biskaka;COMBIS
المجتمعبعنيزة;Community Bnizp;COMBNI
المجتمعببيشة;Community Bouaphh;COMBOU
المجتمعبطبرجل;Community Btabrgel;COMBTA
المجتمعببريدة;Community Buraidah;COMBUR
المجتمعبجدة;Community College;COMCOL
كليةالعنايةالطبيةالأهلية;Community College Medical Care;COMCOLMEDCAR
كليةإدارةالأعمالالأهلية;Community College of Business Administration;COMCOLBUSADM
المجتمعللبناتبرجالألمع;Community For Girls Brightest Men;COMFORGIRBRIMEN
المجتمعبحفرالباطن;Community Hafr Al-batin;COMHAFALBAT
المجتمعبالخرج(المشارك);Community In Al-kharj (co);COMINALKHACO
المجتمعبالدمام;Community In Dammam;COMINDAM
المجتمعبالمدينةالمنورة;Community In Medina;COMINMED
المجتمعبالرياض;Community In Riyadh;COMINRIY
المجتمعبالمجمعة;Community Majma'ah;COMMAJAH
المجتمعبرفحا;Community Parvha;COMPAR
المجتمعبالقطيف;Community Qatif;COMQAT
المجتمعبالقريات;Community Qurayat;COMQUR
خدمةالمجتمعوالتعليمالمستمر;Community Service And Continuing Education;COMSERANDCONEDU
المجتمعبطريف;Community Traif;COMTRA
الحاسب;Computer;COM1
الحاسبالآلي;Computer;COM1
الحاسبالآليوالمعلومات;Computer And Information;COMANDINF1
علومالحاسبوالمعلومات;Computer And Information Sciences;COMANDINFSCI
الحاسبالآليونظمالمعلومات;Computer And Information Systems;COMANDINFSYS
الحاسبالآليبالليث;Computer Ballit;COMBAL2
الحاسببشقراء;Computer Bhqra;COMBHQ1
الحاسبالآليبالقنفذة;Computer Jouf;COMJOU
علومالحاسب;Computer Science;COMSCI
علومالحاسبالآلي;Computer Science;COMSCI
علوموهندسةالحاسباتبينبع;Computer Science And Engineering In Yanbu;COMSCIANDENGINYAN
علومالحاسبونظمالمعلومات;Computer Science And Information Systems;COMSCIANDINFSYS
علومالحاسبوتقنيةالمعلومات;Computer Science And Information Technology;COMSCIANDINFTEC
الحوسبةوالمعلوماتية;Computing And Informatics;COMANDINF2
الحاسباتونظمالمعلومات;Computing And Information Systems;COMANDINFSYS1
الحاسباتوتقنيةالمعلومات;Computing And Information Technology;COMANDINFTEC
الحاسباتوتقنيةالمعلوماتفرعالبنات;Computing And Information Technology (cob);COMANDINFTECCOB
الحاسباتوتقنيةالمعلوماتفرعالكامل;Computing And Information Technology Full Branch;COMANDINFTECFULBRA
الحاسباتوتقنيةالمعلوماتبخليص;Computing And Information Technology Khulais;COMANDINFTECKHU
الحاسباتوتقنيةالمعلوماتبرفحا;Computing And Information Technology Parvha;COMANDINFTECPAR
الكليةالتقنيةبالدمام;Dammam College of Technology;DAMCOLTEC
دارالحكمةللتصميموالعمارة;Dar Al-hikma Design And Architecture;DARALHIKDESANDARC
دارالحكمةللتربيةوالعلومالتطبيقية;Dar Al-hikma Educational And Applied Sciences;DARALHIKEDUANDAPPSCI
دارالحكمةلإدارةالأعمال;Dar Al-hikma of Business;DARALHIKBUS
دارالحكمةلإدارةالأعمالوالقانون;Dar Al-hikma of Business And Law;DARALHIKBUSANDLAW
الدعوةوأصولالدين;Dawa And Fundamentals of Religion;DAWANDFUNREL
عمادةخدمةالمجتمعوالتعليمالمستمربالرياض;Deanship of Community And Continuing Education In Riyadh Service;DEACOMANDCONEDUINRIYSER
عمادةخدمةالمجتمعوالتعليمالمستمربالمجمعة;Deanship of Community And Continuing Education Majma'ah Service;DEACOMANDCONEDUMAJAHSER
عمادةخدمةالمجتمعوالتعليمالمستمربالزلفي;Deanship of Community And Continuing Education Zulfi Service;DEACOMANDCONEDUZULSER
عمادةخدمةالمجتمعوالتعليمالمستمر;Deanship of Community Service And Continuing Education;DEACOMSERANDCONEDU
عمادةخدمةالمجتمعوالتعليمالمستمربحفرالباطن;Deanship of Community Service And Continuing Education Hafr Al-batin;DEACOMSERANDCONEDUHAFALBAT
عمادةخدمةالمجتمعببريدة;Deanship of Community Service Buraidah;DEACOMSERBUR
عمادةالتعليمعنبعد;Deanship of Distance Learning;DEADISLEA
عمادةالخدماتالتعليمية;Deanship of Educational Services;DEAEDUSER
عمادةالبرامجالتحضيرية;Deanship Preparatory Programs;DEAPREPRO
طبالأسنان;Dentistry;DEN
طبالأسنانوالصيدلة;Dentistry And Pharmacy;DENANDPHA
طبالأسنانبالرياض;Dentistry In Riyadh;DENINRIY
التصميموالعمارة;Design And Architecture;DESANDARC
التصاميموالاقتصادالمنزلي;Designs And Home Economics;DESANDHOMECO
التصاميموالاقتصادالمنزليببريدة;Designs And Home Economics Buraidah;DESANDHOMECOBUR
الدكتورسليمانفقيهللتمريضوالعلومالطبية;Dr. Suleiman Faqih Nursing And Medical Science;DRSULFAQNURANDMEDSCI
كليةالمجتمعبمحافظةضباء;Duba Province Community College;DUBPROCOMCOL
العلومالاقتصاديةوالماليةالاسلامية;Economic And Financial Islamic Sciences;ECOANDFINISLSCI
الاقتصادوالعلومالإدارية;Economics And Administrative Sciences;ECOANDADMSCI
الاقتصادوالإدارة;Economics And Management;ECOANDMAN
الاقتصادوالعلومالإدراية;Economy, Science Managerial;ECOSCIMAN
التربية;Education;EDU
التربيةبالدوادمي;Education Aldawadmi;EDUALD
التربيةبالمزاحمية;Education Almazahmia;EDUALM
التربيةوالآداب;Education And Arts;EDUANDART
التربيةوالآداببعرعر;Education And Arts Arar;EDUANDARTARA
التربيةوالآداببتربة;Education And Arts Soil;EDUANDARTSOI
التربيةوالعلومبالخرمة;Education And Science Bakhermh;EDUANDSCIBAK
التربيةبعفيف;Education Bafeef;EDUBAF
التربيةبشقراء;Education Bhqra;EDUBHQ
التربيةببيشة;Education Bouaphh;EDUBOU
التربيةللبناتالأقسامالأدبيةبأبها;Education For Girls Humanities Abha;EDUFORGIRHUMABH
التربيةبحفرالباطن;Education Hafr Al-batin;EDUHAFALBAT
التربيةبحوطةبنيتميم;Education Hotat Bani Tamim;EDUHOTBANTAM
التربيةبالخرج;Education In Al-kharj;EDUINALKHA
التربيةبالدلم;Education In Dalam;EDUINDAL
التربيةبالدمام;Education In Dammam;EDUINDAM
التربيةبالجبيل;Education Jubail;EDUJUB
التربيةبالمجمعة;Education Majma'ah;EDUMAJAH
التربيةبواديالدواسر;Education Propellants Valley;EDUPROVAL
التربيةبالزلفي;Education Zulfi;EDUZUL
عمادةالدراساتالعليا;Educational Graduate Studies;EDUGRASTU
الخدماتالتعليمية;Educational Services;EDUSER
الهندسة;Engineering;ENG
الهندسةبالدوادمي;Engineering Aldawadmi;ENGALD
هندسةوعلومالحاسب;Engineering And Computer Science;ENGANDCOMSCI
الهندسةوعلومالحاسببالخرج;Engineering And Computer Science In Al-kharj;ENGANDCOMSCIINALKHA
الهندسةوتقنيةالمعلومات;Engineering And Information Technology;ENGANDINFTEC
الهندسةوالعمارةالإسلامية;Engineering And Islamic Architecture;ENGANDISLARC
الهندسةبحفرالباطن;Engineering Hafr Al-batin;ENGHAFALBAT
الهندسةبالقنفذة;Engineering Jouf;ENGJOU
الهندسةبالمجمعة;Engineering Majma'ah;ENGMAJAH
العلومالهندسية;Engineering Sciences;ENGSCI
الهندسةبواديالدواسر;Engineering Valley Propellants;ENGVALPRO
اللغةالإنجليزية;English Language;ENGLAN
معهداللغةالانجليزية;English Language Institute;ENGLANINS
الكليةالتقنيةبالرس;Environment College In Buraidah;ENVCOLINBUR
تصاميمالبيئة;Environmental Designs;ENVDES
كليةالدرساتالتطبيقيةوخدمةالمجتمع;Faculty of Applied Studies And Community Service;FACAPPSTUANDCOMSER
كليةالطبالدوادمي;Faculty of Medicine Dawadmi;FACMEDDAW
علومالأسرةللبنات;Family Sciences For Girls;FAMSCIFORGIR
الفارابيلطبالأسنانوالتمرضبجدة;Farabi Dental And Altmrd Jeddah;FARDENANDALTJED
الفارابيلطبالأسنانوالتمرضبالرياض;Farabi Dental And Altmrd Riyadh;FARDENANDALTRIY
العلومالماليةوالإدارية;Financial And Administrative Sciences;FINANDADMSCI
علومالأغذيةوالزراعة;Food And Agricultural Sciences;FOOANDAGRSCI
معهدالإدارةالعامة;General Administration Institute;GENADMINS
علومالأرض;Geology;GEO
كليةالبنات;Girl's College;GIRSCOL
برنامجالدراساتالعليا;Graduate Program;GRAPRO
العلومالصحية;Health Sciences;HEASCI
المعهدالعاليللأمربالمعروفوالنهيعنالمنكر;Higher Institute of Enjoining What Is Good And Forbidding What Is Evil;HIGINSENJWHAISGOOANDFORWHAISEVI
المعهدالعاليللأئمةوالخطباء;Higher Institute of Imams And Preachers;HIGINSIMAANDPRE
المعهدالعاليللقضاء;Higher Judicial Institute;HIGJUDINS
القرآنالكريموالدراساتالإسلامية;Holy Quran And Islamic Studies;HOLQURANDISLSTU
الاقتصادالمنزلي;Home Economics;HOMECO
الاقتصادالمنزليبعرعر;Home Economics Arar;HOMECOARA
الطبالبشري;Human Medicine;HUMMED
العلومالإنسانية;Humanities;HUM
العلوموالآدابالإنسانية;Humanities And Arts;HUMANDART
العلومالانسانيةوالآدابفرعالبنات;Humanities And Arts (cob);HUMANDARTCOB
العلومالإنسانيةوالاجتماعية;Humanities And Social Sciences;HUMANDSOCSCI
العلوموالدراساتالإنسانيةبضرماء;Humanities Bdharme Studies;HUMBDHSTU
السنةالتحضيريةبخليص;Humanities Preparatory Year;HUMPREYEA
العلوموالدراساتالإنسانيةبالقويعية;Humanities Studies And Khamis Mushait;HUMSTUANDKHAMUS
كليةابنرشدللعلومالإدارية;Ibn Rushd College of Administrative Sciences;IBNRUSCOLADMSCI
ابنسيناالأهليةللعلومالطبية;Ibn Sina Eligibility For Medical Sciences;IBNSINELIFORMEDSCI
الإدارةالصناعية;Industrial Management;INDMAN
معهدتعليماللغةالعربيةلغيرالناطقينبها;Institute For Teaching Arabic To Non-native Speakers;INSFORTEAARATONONNATSPE
معهدالإدارةالعامةبالدمام;Institute of Public Administration In Dammam;INSPUBADMINDAM
معهدالإدارةالعامةبالرياض;Institute of Public Administration In Riyadh;INSPUBADMINRIY
الكليةالتقنيةبجدة;Jeddah College of Technology;JEDCOLTEC
الكليةالتقنيةبالقريات;Jeddah College of Technology 2;JEDCOLTEC2
الكليةالتقنيةبالقنفذة;Jouf College of Technology;JOUCOLTEC
كليةالجبيلالصناعية;Jubail Industrial College;JUBINDCOL
معهدالجبيلالتقني;Jubail Technical Institute;JUBTECINS
الدراساتالقضائيةوالأنظمة;Judicial Studies And Regulations;JUDSTUANDREG
العلومالطبيةالتطبيقيةبالقويعية;Khamis Mushait Applied Medical Sciences;KHAMUSAPPMEDSCI
الكليةالتقنيةبالقويعية;Khamis Mushait College of Technology;KHAMUSCOLTEC
المجتمعبالقويعية;Khamis Mushait Community;KHAMUSCOM
المجتمعبخميسمشيط;Khamis Mushayt Community;KHAMUSCOM1
التمريضبخميسمشيط;Khamis Mushayt Nursing;KHAMUSNUR
الكليةالتقنيةبخميسمشيط;Khamis Mushayt Technical College;KHAMUSTECCOL
الكليةالتقنيةبالمجمعة;Kharj College of Technology;KHACOLTEC
المجتمعبخيبر;Khyber Community;KHYCOM
العلوموالآداببفرسان;Knights of Arts And Sciences;KNIARTANDSCI
المعرفةللعلوموالتقنية;Knowledge of Science And Technology;KNOSCIANDTEC
اللغاتوالترجمة;Languages ​​and Translation;LANANDTRA
الحقوقوالعلومالسياسية;Law And Political Science;LAWANDPOLSCI
الشريعةوالأنظمة;Law And Regulations;LAWANDREG
الريادةللعلومالصحيةالأهلية;Leadership Eligibility For Health Sciences;LEAELIFORHEASCI
الآدابوالفنون;Literature And the Arts;LITANDART
الطبالبطريوالثروةالحيوانية;Livestock Veterinary Medicine;LIVVETMED
الطب;Medicine;MED
الطببشقراء;Medicine Bhqra;MEDBHQ
الطببالدمام;Medicine Dammam;MEDDAM
الطببالمجمعة;Medicine Majma'ah;MEDMAJAH
الطببالرياض;Medicine Riyadh;MEDRIY
الأرصادوالبيئةوزراعةالمناطقالجافة;Meteorology, Environment And Arid Land Agriculture;METENVANDARILANAGR
محمدالمانعالأهليةللعلومالطبية;Mohammed Inhibitor Eligibility For Medical Sciences;MOHINHELIFORMEDSCI
التمريض;Nursing;NUR
التمريضبالأحساء;Nursing Ahsa;NURAHS
التمريضللبناتبعرعر;Nursing For Girls Arar;NURFORGIRARA
التمريضبالرياض;Nursing In Riyadh;NURINRIY
التمريضبجدة;Nursing Jeddah;NURJED
المجتمعبالعلا;Ola Community;OLACOM
الصيدلة;Pharmacy;PHA
الصيدلةبالدوادمي;Pharmacy Aldawadmi;PHAALD
الصيدلةبالخرج;Pharmacy In Al-kharj;PHAINALKHA
السنةالتحضيريةبالمزاحمية;Preparatory Almazahmia Year;PREALMYEA
سنةتحضيرية;Preparatory Year;PREYEA
السنةالتحضيرية-فرعالبنات;Preparatory Year - Girls Branch;PREYEAGIRBRA
السنةالتحضيريةبالأحساء;Preparatory Year Ahsa;PREYEAAHS
السنةالتحضيريةبحفرالباطن;Preparatory Year Hafr Al-batin;PREYEAHAFALBAT
السنةالتحضيريةبجدة;Preparatory Year In Jeddah;PREYEAINJED
السنةالتحضيريةبرابغ;Preparatory Year In Rabigh;PREYEAINRAB
برنامجالسنةالتحضيرية;Preparatory Year Program;PREYEAPRO
معهدالأميرسلمانللدراساتوالخدماتالاستشارية;Prince Salman Institute For Studies And Advisory Services;PRISALINSFORSTUANDADVSER
الأميرسلطانللسياحةوالإدارةبجدة;Prince Sultan For Tourism And Administration In Jeddah;PRISULFORTOUANDADMINJED
كليةالأميرسلطانالعسكريةللعلومالصحيةبالظهران;Prince Sultan Military College of Health Sciences In Dhahran;PRISULMILCOLHEASCIINDHA
الأميرسلطانالعسكريةللعلومالصحيةبالظهران;Prince Sultan Military Health Sciences In Dhahran;PRISULMILHEASCIINDHA
الكليةالتقنيةبواديالدواسر;Propellants Valley Technical College;PROVALTECCOL
معهدالإدارةالعامةبجدة;Public Administration Institute In Jeddah;PUBADMINSINJED
الصحةالعامة;Public Health;PUBHEA
الصحةالعامةوالمعلوماتيةالصحيةبالرياض;Public Health And Health Informatics In Riyadh;PUBHEAANDHEAINFINRIY
الصحةالعامةوطبالمناطقالحارة;Public Health And Tropical Medicine;PUBHEAANDTROMED
السنةالتحضيرية;Py;PY
السنةالتحضيريةبفرعشمالجدة;Py Branch North of Jeddah;PYBRANORJED
السنةالتحضيريةلقطاعالكلياتوالمعاهدبينبع*;Py Sector Colleges And Institutes In Yanbu *;PYSECCOLANDINSINYAN
المجتمعالتأهيلي;Qualifying Community;QUACOM
أصولالدين;Religion Basics;RELBAS
الحقوق;Rights;RIG
الكليةالتقنيةبالرياض;Riyadh College of Technology;RIYCOLTEC
كلياتالرياضلطبالأسنانوالصيدلة;Riyadh Colleges of Dentistry And Pharmacy;RIYCOLDENANDPHA
الرياضلطبالأسنانوالصيدلة;Riyadh Dental And Pharmacy;RIYDENANDPHA
سعدللتمريضوالعلومالصحيةالأهلية;Saad Eligibility For Nursing And Health Sciences;SAAELIFORNURANDHEASCI
العلوم;Science;SCI
العلوموالآابللبناتبمحايلعسير;Science And Alaab Girls Bmhaal Asir;SCIANDALAGIRBMHASI
العلوموالآداببالنعيرية;Science And Arts -noa'ryya;SCIANDARTNOARYY
العلوموالآداببخليص;Science And Arts & Humanities;SCIANDARTHUM
العلوموالآداببالبدائع;Science And Arts Balbdaia;SCIANDARTBAL
العلوموالآداببالبكيرية;Science And Arts Balbkirah;SCIANDARTBAL1
العلوموالآداببالدائر;Science And Arts Baldair;SCIANDARTBAL2
العلوموالآداببالدرب;Science And Arts Balderb;SCIANDARTBAL3
العلوموالآداببالنماص;Science And Arts Balnmas;SCIANDARTBAL4
العلوموالآداببالأسياح;Science And Arts Balosaah;SCIANDARTBAL5
العلوموالآداببالمجاردة;Science And Arts Bamajardh;SCIANDARTBAM
العلوموالآدابببلجرشي;Science And Arts Bbalijrchi;SCIANDARTBBA
العلوموالآدابببلقرن(سبتالعلايا);Science And Arts Bbelkrn (sat. Alaya);SCIANDARTBBESATALA
العلوموالآداببضرية;Science And Arts Bdharah;SCIANDARTBDH
العلوموالآداببقلوة;Science And Arts Bgulwh;SCIANDARTBGU
العلوموالآداببشقراء;Science And Arts Bhqra;SCIANDARTBHQ
العلوموالآداببشرورة;Science And Arts Bhrorh;SCIANDARTBHR
العلوموالآداببمحايلعسير;Science And Arts Bmhaal Asir;SCIANDARTBMHASI
العلوموالآداببعنيزة;Science And Arts Bnizp;SCIANDARTBNI
العلوموالآدابببيشة;Science And Arts Bouaphh;SCIANDARTBOU
العلوموالآداببساجر;Science And Arts Bsagr;SCIANDARTBSA
العلوموالآداببطبرجل;Science And Arts Btabrgel;SCIANDARTBTA
العلوموالآداببتنومة;Science And Arts Btnomh;SCIANDARTBTN
العلوموالآداببالمذنب;Science And Arts Comet;SCIANDARTCOM
العلوموالآداببالعارضة;Science And Arts Crossbar;SCIANDARTCRO
العلوموالآدابللبناتبسراةعبيدة;Science And Arts For Girls Bsrah Obeida;SCIANDARTFORGIRBSROBE
العلوموالآدابللبناتبظهرانالجنوب;Science And Arts For Girls Bzaran South;SCIANDARTFORGIRBZASOU
العلوموالآدابللبناتبخميسمشيط;Science And Arts For Girls In Khamis Mushayt;SCIANDARTFORGIRINKHAMUS
العلوموالآداببالكامل;Science And Arts In Full;SCIANDARTINFUL
العلوموالأداببرابغ;Science And Arts In Rabigh;SCIANDARTINRAB
العلوموالآداببالخفجي;Science And Arts Khafji;SCIANDARTKHA
العلوموالآداببالمخواة;Science And Arts Makhwah;SCIANDARTMAK
العلوموالآداببرجالآلمع;Science And Arts Men Brightest;SCIANDARTMENBRI
العلوموالآداببالمندق;Science And Arts Moundq;SCIANDARTMOU
العلوموالآداببالعلا;Science And Arts Ola;SCIANDARTOLA
العلوموالآداببرفحا;Science And Arts Parvha;SCIANDARTPAR
العلوموالآداببتثليث;Science And Arts Ptthleet;SCIANDARTPTT
العلوموالآداببالقريات;Science And Arts Qurayat;SCIANDARTQUR
العلوموالآداببصامطة;Science And Arts Samtah;SCIANDARTSAM
العلوموالآداببطريف;Science And Arts Traif;SCIANDARTTRA
علوموهندسةالحاسبالآلي;Science And Computer Engineering;SCIANDCOMENG
علوموهندسةالحاسبات;Science And Computer Engineering;SCIANDCOMENG
العلوموالدراساتالعامة;Science And General Studies;SCIANDGENSTU
العلوموالاقتصادالمنزليللبناتببيشة;Science And Home Economics For Girls Bouaphh;SCIANDHOMECOFORGIRBOU
العلوموالدراساتالانسانيةبالسليل;Science And Human Studies Basulail;SCIANDHUMSTUBAS
العلوموالدراساتالإنسانيةبالافلاج;Science And Humanities Aflaj;SCIANDHUMAFL
العلوموالدراساتالإنسانيةبالدوادمي;Science And Humanities Aldawadmi;SCIANDHUMALD
العلوموالدراساتالإنسانيةبحريملاء;Science And Humanities Bharimlae;SCIANDHUMBHA
العلوموالدراساتالإنسانيةبالغاط;Science And Humanities Ghat;SCIANDHUMGHA
العلوموالدراساتالإنسانيةبحوطةبنيتميم;Science And Humanities Hotat Bani Tamim;SCIANDHUMHOTBANTAM
العلوموالدراساتالإنسانيةبالخرج;Science And Humanities In Al-kharj;SCIANDHUMINALKHA
العلوموالدراساتبثادق;Science And Studies Butadeg;SCIANDSTUBUT
العلومبالدمام;Science Dammam;SCIDAM
العلومللبنات;Science For Girls;SCIFORGIR
العلومللبناتبأبها;Science For Girls Abha;SCIFORGIRABH
العلومبينبع;Science Yanbu;SCIYAN
العلومبالزلفي;Science Zulfi;SCIZUL
العلومالآداببرنية;Sciences Arts Bernih;SCIARTBER
علومالبحار;Sea ​​science;SEASCI
الشريعة;Sharia;SHA
الشريعةوأصولالدين;Sharia And Fundamentals of Religion;SHAANDFUNREL
الشريعةوالدراساتالإسلامية;Sharia And Islamic Studies;SHAANDISLSTU
الشريعةوالدراساتالإسلاميةبالإحساء;Sharia And Islamic Studies Ahsa;SHAANDISLSTUAHS
الشريعةوالقانونبجازان;Sharia Law In Jizan;SHALAWINJIZ
الشريعةوالقانونسكاسكا;Sharia Law Skaska;SHALAWSKA
المجتمعبالمهد;Society Cradle;SOCCRA
المجتمعللبناتبأبها;Society For Girls Abha;SOCFORGIRABH
