ARAB;ENG
المهني في المحاسبة;Career in Accounting
بيولوجيا الخلية والوراثة والأنسجة;Cell biology and genetics and tissue
الطوارئ الطبية والعناية المركزية;Central Emergency Medical Care
الهندسة الكيميائية;Chemical Engineering
هندسة كيميائية;Chemical Engineering
هندسة كيميائية - البوليمرات;Chemical Engineering - Polymers
صناعات كيميائية;Chemical Industries
المختبرات الكيميائية;Chemical laboratories
مختبرات كيميائية;Chemical laboratories
إنتاج كيميائي;Chemical production
الكيمياء;Chemistry
كيمياء;Chemistry
الأمراض الصدرية;Chest's diseases
الصيدلانات;Chidlanat
تقنيات تعليم الطفولة;Childhood education techniques
تمريض الطفولة;Childhood Nursing
تخطيط المدن والأقاليم;City and Regional Planning
هندسة مدنية;Civil engineering
الهندسة المدنية;Civil engineering
الكيمياء الحيوية السريرية;Clinical Biochemistry
علم الكيمياء السريرية;Clinical Chemistry
علوم مختبرات إكلينيكية;Clinical laboratory sciences
علوم المختبرات الإكلينيكية;Clinical Laboratory Sciences
التغذية السريرية;Clinical Nutrition
تغذية إكلينيكية;Clinical nutrition
الصيدلة السريرية;Clinical Pharmacy
الصيدلة الإكلينيكية;Clinical Pharmacy
صيدلة إكلينيكية;Clinical Pharmacy
صيدلة سريرية;Clinical Pharmacy
علم النفس العيادي;Clinical Psychology
الملابس والنسيج مع إعداد تربوي;Clothing and fabric with educational preparation
الملابس والنسيج;Clothing and textiles
برنامج الاختبارات الائتلافية;Coalition testing program
القانون التجاري;Commercial Law
اتصالات;Communication
الاتصال والإعلام;Communication and Information
الاتصالات وشبكات الحاسب;Communications & Computer Networks
هندسة الاتصالات;Communications Engineering
تمريض صحة المجتمع;Community Health Nursing
الفقه المقارن;Comparative Jurisprudence
عام حاسب آلي;Computer
حاسب آلي;Computer
الحاسب الآلي;Computer
علوم الحاسب والمعلومات;Computer and Information Sciences
عام علوم الحاسب والمعلومات;Computer and Information Sciences
تطبيقات الحاسب الآلي;Computer Applications
هندسة الحاسب الآلي;Computer Engineering
هندسة حاسب;Computer engineering
هندسة الحاسب;Computer Engineering
هندسة الحاسبات;Computer Engineering
نظم المعلومات الحاسوبية;Computer Information Systems
صيانة الحاسب الآلي;Computer maintenance
شبكات الحاسب الآلي;Computer networks
شبكات الحاسب;Computer Networks
برمجة الحاسب;Computer Programming
برمجة الحاسب ونظم المعلومات;Computer programming and information systems
علوم الحاسبات;Computer Science
علوم حاسب آلي;Computer Science
عام علوم الحاسب;Computer Science
علوم الحاسب الآلي ;Computer Science
علوم الحاسب;Computer Science
علوم الحاسب           ;Computer Science
علوم الحاسب الآلي     ;Computer Science
علوم الحاسب الآلي;Computer Science
علوم الحاسب ;Computer Science
علوم حاسب;Computer Science
عام علوم وهندسة الحاسبات;Computer science and engineering
عام علوم الحاسب وتقنية المعلومات;Computer Science and Information Technology
تقنيات الحاسب وإدارة النظم;Computer systems and management techniques
عام تقنية حاسب وتقنية المعلومات;Computer technology and information technology
عام الحاسبات وتقنية المعلومات;Computing and Information Technology
العلاج التحفظي وطب الأسنان التجميلي;Conservative Dentistry Dental Aesthetic Medicine
هندسة التشييد;Construction Engineering
هندسة إنشاءات;Construction Engineering
هندسة انشاءات;Construction Engineering
هندسة وإدارة التشييد;Construction Engineering and Management
التجميل;Cosmetology
الإرشاد والتوجيه;Counseling and Guidance
علم النفس الإرشادي;Counseling Psychology
إحصاء;Count
العقيدة;Creed
القانون الجنائي;Criminal Law
طب العناية الحرجة للكبار;Critical Care Medicine for adults
طب العناية المركزة لدى الأطفال;Critical Care Medicine in children
علوم المحاصيل;Crop Science
مناهج وطرق تدريس اللغة العربية;Curricula and methods of teaching Arabic language
مناهج وطرق تدريس الحاسب;Curricula and methods of teaching computer
مناهج وطرق تدريس الحاسب الآلي;Curricula and methods of teaching Computer
المناهج وطرق تدريس الدراسات الإسلامية;Curricula and methods of teaching Islamic studies
مناهج وطرق تدريس الرياضيات;Curricula and methods of teaching mathematics
المناهج وطرق تدريس الرياضيات;Curricula and methods of teaching mathematics
مناهج وطرق تدريس العلوم;Curricula and methods of teaching science
المناهج وطرق تدريس العلوم;Curricula and methods of teaching science
مناهج وطرق تدريس العلوم ;Curricula and methods of teaching science
مناهج ووسائل تعليمية;Curricula and teaching aids
مناهج وطرق تدريس اللغة الإنجليزية (موازي);Curricula and teaching methods in English (parallel)
مناهج وطرق تدريس التربية الأسرية;Curricula and teaching methods of family education
مناهج وطرق تدريس العلوم الشرعية;Curricula and teaching methods of forensic science
مناهج وطرق تدريس الجغرافيا;Curricula and teaching methods of geography
مناهج وطرق تدريس العلوم الإسلامية;Curricula and teaching methods of Islamic Sciences
مناهج وطرق تدريس التربية الرياضية;Curricula and teaching methods of physical education
المناهج وطرق التدريس العامة;Curriculum and general teaching
المناهج وطرق التدريس;Curriculum and Instruction
مناهج وطرق تدريس العلوم الاجتماعية;Curriculum and Instruction of Social Sciences
مناهج وطرق تدريس اللغة الإنجليزية;Curriculum and Teaching English
المناهج وطرق تدريس اللغة الإنجليزية;Curriculum and Teaching English
مناهج وطرق تدريس;Curriculum and Teaching Methods
مناهج وطرق تدريس التاريخ;Curriculum and teaching of history
تاريخ;Date
التاريخ;Date
الدعوة والثقافة الإسلامية;Dawa Islamic culture
الدعوة والثقافة الاسلامية;Dawa Islamic culture
علوم القرارات;Decisions Sciences
طب وجراحة الفم والأسنان;Dental and Oral Surgery
طب أمراض العقم لدى النساء;Dental diseases, infertility in women
رعاية صحة الأسنان;Dental health care
ترميم الأسنان;Dental restorations
طب وجراحة الأسنان;Dental Surgery
تقنية الأسنان;Dental Technology
طب الأسنان ;Dentistry
طب الفم والأسنان;Dentistry
طب أسنان عام;Dentistry in
طب الأمراض الجلدية;Dermatology
هندسة تحلية المياة;Desalination Engineering
التصميم;Design
التصميم والميكانيكا التطبيقية;Design and Applied Mechanics
تصميم وإنتاج الملابس;Design and production of clothing
تصميم الملابس والحلي;Design clothes and ornaments
علوم تشخيص الفم;Diagnosis of Oral Sciences
علوم التشخيص وطب الفم;Diagnostic medicine mouth Sciences
أشعة تشخيصية;Diagnostic radiation
الأشعة التشخيصية;Diagnostic Radiology
امراض الجهاز الهضمي;Digestive Disease
أمراض الجهاز الهضمي لدى الأطفال;Digestive diseases in children
الإعلام الرقمي;Digital Media
دبلوم المصارف;Diploma banks
إعاقة عقلية;Disability
العقيدة والمذاهب المعاصرة;Doctrine and contemporary doctrines
العقيدة والمذاهب المعاصره;Dogma and doctrines contemporary
الإصلاح الأسري;Domestic reform
الرسم والتصوير;Drawing and painting
العقاقير;Drugs
الأعمال الإلكترونية;E-Business
التجارة الإلكترونية;E-Commerce
جراحة الأنف والأذن والحنجرة ;Ear, nose and throat surgery
جراحة الأنف والأذن والحنجرة لدى الأطفال;Ear, nose and throat surgery in children
تربية الطفولة المبكرة;Early Childhood Education
الجيولوجيا الاقتصادية;Economic Geology
اقتصاد وادارة;Economics and Administration
الاقتصاد;Economy
اقتصاد;Economy
عام التربية;Education
التربية;Education
التربية والتنمية البشرية;Education and Human Development
التربية ورياض الأطفال;Education and kindergartens
التربية وعلم النفس;Education and Psychology
التربية في الإدارة والإشراف التربوي;Education in Educational Administration and Supervision
التربية في وسائل وتكنولوجيا التعليم;Education in the media and technology education
 تقنيات التعليم  ;Education Technology
تقنيات التعليم;Education Technology
تقنيات التعليم ;Education Technology
الإدارة التربوية;Educational administration
الادارة التربوية;Educational administration
الإدارة التعليمية;Educational administration
الإدارة التربوية والتخطيط;Educational Administration and Planning
إدارة تربوية وتخطيط;Educational Administration and Planning
الإدارة والإشراف التربوي;Educational Administration and Supervision
القيادة التربوية;Educational Leadership
علم النفس التربوي;Educational Psychology
علم النفس التربوي والنمو;Educational Psychology and growth
عام خدمات تعليمية;Educational services
إشراف تربوي;Educational supervision
قوى كهربائية;Electric Power
التقنية الكهربائية;Electrical
الهندسة الكهربائية وهندسة الحاسبات;Electrical and Computer Engineering
هندسة كهربائية;Electrical engineering
الهندسة الكهربائية;Electrical engineering
آلات ومعدات كهربائية;Electrical machines and equipment
آلات وقوى كهربائية;Electrical machines and forces
القوى الكهربائية;Electrical Power
تقنية هندسة القوى الكهربائية;Electrical Power Engineering Technology
تقنية القوى الكهربائية;Electrical Power Technology
خدمة المعلومات الإلكترونية;Electronic information service
إلكترونيات;Electronics
الالكترونيات والاتصالات;Electronics and Communication
تقنية هندسة الإلكترونيات;Electronics Engineering Technology
تقنية الإلكترونيات;Electronics Technology
التعليم الإبتدائي علوم;Elementary Science Education
الإسعاف والطوارئ;Emergency
الرعاية الطبية الطارئة;Emergency medical care
طب الطوارئ;Emergency Medicine
طب طوارئ لدى أطفال;Emergency Medicine at Children
طب الطوارئ لدى الكبار;Emergency medicine in adults
تقنية  طب الطوارئ;Emergency Medicine Technology
تمريض الطوارئ;Emergency Nursing
أمراض الغدد الصماء;Endocrine diseases
الغدد الصماء لدى الأطفال;Endocrine glands in children
علاج الجذور وعصب الأسنان;Endodontics and Dental nerve
هندسة;Engineering
عام هندسة;Engineering
الهندسة - تصميم داخلي;Engineering - Interior Design
هندسة وإدارة تشييد;Engineering and construction management
الهندسة والتبولوجي;Engineering and topological
الإدارة الهندسية;Engineering Management
محركات ومركبات;Engines and vehicles
مسار اللغة الإنجليزية;English Language
لغة إنجليزية;English language
اللغة الإنجليزية ;English language
اللغة الانجليزية ;English language
اللغة الإنجليزية;English language
اللغة الإنجليزية وآدابها;English language and literature
اللغة الإنجليزية والترجمة;English Language and Translation
الأدب الإنجليزي;English literature
حماية البيئة;Environment protection
هندسة البيئة;Environmental Engineering
صحة البيئة;Environmental Health
العلوم البيئية;Environmental Science
علوم بيئية;Environmental Science
الوبائيات;Epidemiology
الإدارة العامة التنفيذية ;Executive General Administration
إدارة الخدمات الصحية والمستشفيات التنفيذي;Executive management of health services and hospitals
الماجستير التنفيذي في إدارة الأعمال;Executive Master of Business Administration
السكرتير التنفيذي;Executive Secretary
جراحة العيون;Eye Surgery
علوم الأسرة والطفولة;Family and Children Science
الإرشاد الإسري;Family counseling
الإرشاد الأسري;Family counseling
التربية الأسرية مع إعداد تربوي;Family education with educational preparation
التربية الأسرية;Family Life Education
طب الأسرة والمجتمع;Family medicine
تصميم الأزياء;Fashion design
تصاميم الأزياء;Fashion Designs
المالية;Finance
العلوم المالية;Finance
التمويل والاستثمار;Finance and investment
إدارة التمويل والاستثمار;Finance and investment management
المحاسبة المالية;Financial Accounting
الإدارة المالية;Financial administration
العلوم المالية والإدارية;Financial and Administrative Sciences
عام مالية وإدارية;Financial and administrative year
مالية وبنوك;Financial and banks
إدارة مالية;Financial management
الرقابة المالية;Financial Supervision
الفقه;Fiqh
الفقه ;Fiqh
الثروة السمكية;Fisheries
الغذاء والتغذية;Food and Nutrition
هندسة تصنيع الأغذية;Food Process Engineering
تقنية التصنيع الغذائي;Food processing technology
إنتاج طعام;Food production
سلامة الأغذية;Food Safety
علوم الأغذية;Food Science
علوم الأغذية وتقنياتها;Food science and technology
خدمة الطعام;Food service
اللغات الأجنبية;Foreign languages
العلوم الشرعية ;Forensic science
أصول التربية;Foundations of Education
اللغة الفرنسية والترجمة;French Language and Translation
التمويل;Funding
إدارة عامة;General Administration
أحياء عامة;General Biology
مناهج عامة;General curricula
الدبلوم العام في التربية ;General Diploma in Education
دبلوم عام في التربية;General Diploma in Education
الدبلوم العام في التربية;General Diploma in Education
الدبلوم العام في الدراسات الإسلامية;General Diploma in Islamic Studies
إدارة التعليم العام;General Education Department
دبلوم التربية العام;General Education Diploma
الدبلوم التربوي العام;General Educational Diploma Program
عام آداب;General etiquette
طب وجراحة عامة;General Medicine and Surgery
عام حقوق;General rights
عام علوم;General Science
الجراحة العامة;General Surgery
علم الوراثه;Genetics
نظم المعلومات الجغرافية;Geographic Information Systems
جغرافيا التنمية الاقليمية;Geographically regional development
جغرافيا العمران والسكان;Geographically urbanization and population
الجغرافيا ;Geography
جغرافيا;Geography
الجغرافيا ونظم المعلومات الجغرافية;Geography and GIS
جغرافيا البيئة والموارد الطبيعية;Geography Environment and Natural Resources
الجيولوجيا;Geology
الجيوفيزياء;Geophysics
جيوفيزياء;Geophysics
نظم المعلومات الجغرافية والخرائط;GIS and mapping systems
 النحو والصرف;Grammar
النحو والصرف - بريدة;Grammar - Buraidah
النحو واللغة;Grammar, language
الرسم والفنون;Graphic arts
تصميم الرسومات;Graphic Design
التصميم الجرافيكي;Graphic design
نمو;Growth
التوجيه والإرشاد;Guidance and Counseling
توجيه وإرشاد نفسي ;Guidance and counseling for myself
توجية وإرشاد طلابي;Guidance and counseling for students
توجيه وإرشاد طلابي;Guidance and counseling for students
التوجيه والإرشاد الطلابي;Guidance and counseling students
دبلوم التوجيه والارشاد الطلابي;Guidance and counseling students Diploma
التوجية والإرشاد التربوي;Guidance and Educational Guidance
التوجيه والإرشاد النفسي;Guidance and psychological counseling
دبلوم التوجيه والارشاد النفسي;Guidance and psychological counseling diploma
طب النساء والولادة;Gynecology and obstetrics
عام الحديث الشريف والدراسات الإسلامية;Hadith and Islamic Studies
الحديث وعلومه;Hadith and its sciences
إدارة الصحة والمستشفيات;Health and Hospital Management
المعلوماتية الصحية;Health Informatics
إدارة معلومات صحية;Health Information Management
الإدارة الصحية;Health Management
البرامج الصحية;Health programs
العلوم الصحية;Health Sciences
عام علوم صحية;Health sciences
إدارة الخدمات الصحية والمستشفيات;Health services and hospital management
إدارة  الخدمات الصحية ;Health Services Management
إدارة الأنظمة والجودة الصحية;Health Systems Management and Quality
الإعاقة السمعية;Hearing disability
الاعاقة السمعية;Hearing disability
أمراض القلب لدى الأطفال;Heart disease in children
أمراض القلب;Heart diseases
جراحة القلب;Heart Surgery
الحرارة والموائع;Heat and Fluid
الحرارة وتحلية المياة;Heat and water desalination
علم أمراض الدم;Hematology
إدارة  التعليم العالي;Higher Education Administration
علم الأنسجة;Histology
التاريخ والحضارة;History and civilization
التاريخ والحضارة - بريدة;History and civilization - Buraidah
عام القرآن الكريم والدراسات الإسلامية;Holy Quran and Islamic Studies
الاقتصاد المنزلي;Home Economics
اقتصاد منزلي;Home Economics
الاقتصاد المنزلي التربوي;Home economics education
علوم الاقتصاد المنزلي;Home Economics Sciences
الفندقة;Hospitality
الإسكان وإدارة المنزل;Housing and home management
السكن وإدارة المنزل;Housing and home management
السكن وإدارة المنزل مع إعداد تربوي;Housing and home management with educational preparation
السكن وإدارة المؤسسات;Housing and management institutions
إدارة موارد بشرية;HR management
جغرافيا بشرية;Human geography
الطب البشري;Human Medicine
إدارة الموارد البشرية;Human Resource Management
إدارة الموارد البشرية;Human Resource Management
الموارد البشرية;Human Resources
موارد بشرية;Human resources
البرامج الإنسانية;Humanitarian programs
العلوم الإنسانية;Humanities
الإمامة والخطابة;Imamate and rhetoric
عام إعلام;Media
الهندسة الصناعية والنظم;Industrial and Systems Engineering
إلكترونيات صناعية وتحكم;Industrial Electronics and Control
الكترونيات صناعية وتحكم;Industrial Electronics and Control
الهندسة الصناعية;Industrial Engineering
هندسة صناعية;Industrial engineering
هندسة صناعية - العوامل الإنسانية والسلامة;Industrial engineering - human factors and safety
الإدارة الصناعية;Industrial Management
النظم الصناعية;Industrial systems
تكنولوجيا المعلومات والاتصالات في التربية;Information and communication technology in education
تقنية المعلومات والحاسب الآلي;Information and Computer Technology
إدارة المعلومات;Information management
شبكات المعلومات;Information Networks
علم المعلومات;Information Science
أمن المعلومات;Information Security
نظم معلومات;Information systems
نظم المعلومات;Information Systems
تقنية المعلومات;Information technology
وراثة;Inheriting
الصفوف الإولية;Initial rows
كيمياء غير عضوية;Inorganic Chemistry
الحشرات والطفيليات;Insects and parasites
تأمين;Insurance
عمليات التأمين;Insurance operations
التصميم الداخلي;Interior Design
هندسة التصميم الداخلي;Interior Design Engineering
التمريض الباطني والجراحي للكبار;Internal and surgical nursing for adults
الطب الباطني;Internal Medicine
التربية الدولية المقارنة;International Comparative Education
العلاقات الدولية;International Relations
التفسير;Interpretation
تفسير وحديث;Interpretation and modern
التفسير وعلوم القرآن;Interpretation of the Qur'an and Science
التفسير وعلوم القرآن ـ بريدة;Interpretation of the Qur'an and Science Buraidah
التحقيق والادعاء العام;Investigation and Prosecution
هندسة ري وصرف;Irrigation and drainage engineering
العمارة الإسلامية ;Islamic architecture
الأصول الإسلامية للتربية;Islamic asset for Education
الدعوة الإسلامية;Islamic Call
الثقافة الإسلامية;Islamic culture
الاقتصاد الإسلامي;Islamic economics
الإقتصاد الإسلامي ;Islamic Economics
التربية الإسلامية والمقارنة;Islamic Education and comparison
آثار إسلامية;Islamic effects
العصور الإسلامية;Islamic eras
الإدارة المالية الإسلامية;Islamic Financial Management
التاريخ الإسلامي ;Islamic history
تاريخ إسلامي;Islamic history
التاريخ الإسلامي;Islamic history
السياسة الشرعية;Islamic politics
التربية الإسلامية;Islamic principals
دراسات إسلامية;Islamic Studies
الدراسات  الإسلامية;Islamic studies
دراسات اسلامية;Islamic studies
رياضيات بحتة ـ جبر;Jabr purely Mathematics
الدراسات القضائية;Judicial Studies
فقه;Jurisprudence
أصول الفقه;Jurisprudence
فقه وأصول;Jurisprudence and assets
أمراض الكلى;Kidney disease
رياض الأطفال;Kindergarten
رياض الأطفال مع إعداد تربوي;Kindergarten with educational preparation
رياض أطفال;Kindergartens
تقنية المختبرات;Laboratory Technology
الأراضي والمياه;Land and water
اللغة والثقافة;Language and culture
اللغة والنحو والصرف;Language and grammar
اللغات والترجمة;Languages ​​and Translation
عام - قانون;Law
عام شريعة;Law
قانون;Law
القانون;Law
القانون والممارسة المهنية;Law and professional practice
المحاماة;Lawyer
الريادة في الأعمال;Leadership in Business
تعلم;Learn
صعوبات تعلم;Learning difficulties
صعوبات التعلم;Learning difficulties
صعوبات تعلم - عربي;Learning difficulties - Arabic
مراكز مصادر التعلم;Learning Resource Centers
مصادر التعلم;Learning Resources
مصادر  التعلم;Learning Resources
الدراسات القانونية;Legal Studies
التحرير والسكرتارية ;Liberation and secretarial
التحرير والسكرتارية;Liberation and secretarial
علوم المكتبات والمعلومات;Library and Information Science
علوم الحياة;Life Sciences
الإعداد اللغوي;Linguistic preparation
دراسات لغوية;Linguistic studies
اللغويات;Linguistics
اللغويات ;Linguistics
السنة التحضيرية للكليات الأدبية;Literary preparatory year for colleges
دراسات أدبية;Literary studies
الأدب;Literature
أدب;Literature
الأدب - بريدة;Literature - Buraidah
الأدب والنقد;Literature and criticism
أدب ونقد;Literature and Criticism
الأدب والبلاغة ;Literature and Rhetoric
الأدب والبلاغة والنقد;Literature and rhetoric and criticism
 الإمداد والتموين;Logistics
هندسة الآلات والقوى الزراعية;Machinery Agricultural Power Engineering
هندسة البناء;Machinery for construction
صيانة المعدات الطبية;Maintenance of medical equipment
إدارة وتخطيط تربوي;Management and planning of educational
نظم المعلومات الإدارية;Management information systems
نظم معلومات إدارية;Management Information Systems
نظم التصنيع;Manufacturing systems
تقنية التصنيع;Manufacturing Technology
الخرائط ونظم المعلومات الجغرافية;Maps and geographic information systems
الأحياء البحرية;Marine Biology
الكيمياء البحرية;Marine Chemistry
الفيزياء البحرية;Marine Physics
التسويق;Marketing
تسويق;Marketing
التسويق والتجارة الإلكترونية;Marketing and e-commerce
تسويق وتجارة إلكترونية;Marketing and electronic commerce
إدارة المواد;Materials Management
علوم وهندسة المواد;Materials Science and Engineering
تمريض الأمومة;Maternity Nursing
العلوم الرياضية;Mathematical Sciences
رياضيات;Mathematics
الرياضيات ;Mathematics
القياس والتقويم;Measurement and Evaluation
الهندسة الميكانيكية;Mechanical engineering
هندسة ميكانيكية;Mechanical engineering
تقنية الهندسة الميكانيكية;Mechanical Engineering Technology
تقنية الصيانة الميكانيكية;Mechanical Maintenance Technology
الإعلام;Media
الاعلام;Media
الاعلام والاتصال;Media and Communication
الكيمياء الحيوية الطبية;Medical Biochemistry
تقنية الأجهزة الطبية;Medical Device Technology
أجهزة طبية;Medical devices
التعليم الطبي;Medical Education
التوعية والتعزيز الطبي;Medical education and promotion
الوبائيات والإحصاء الطبي الحيوي;Medical epidemiology and vital statistics
المختبرات الطبية;Medical Laboratory
علوم المختبرات الطبية;Medical Laboratory Science
فني المختبرات الطبية;Medical Laboratory Technician
تقنية المختبرات الطبية;Medical Laboratory Technology
مختبرات طبية;Medical labs
الأحياء الدقيقة الطبية;Medical Microbiology
الكائنات الدقيقة الطبية;Medical Microbiology
الفيزياء الطبية;Medical Physics
السجلات الطبية;Medical records
سجلات طبية;Medical records
نظم السجلات الطبية;Medical records systems
عام علوم طبية;Medical Sciences
السكرتارية الطبية;Medical Secretary
سكرتارية طبية;Medical Secretary
القسم الطبي;Medical Section
عام طب;Medicine
الطب;Medicine
الطب والجراحة العامة;Medicine and General Surgery
طب وجراحة;Medicine and Surgery
الطب والجراحة;Medicine and Surgery
طب أمراض الدم للكبار;Medicine for adult blood diseases
طب أمراض الدم للأطفال;Medicine for children hematology
طب الأمراض المعدية;Medicine infectious diseases
طب الأمراض المعدية للأطفال;Medicine infectious diseases for children
طب الأورام الطبية;Medicine Medical Oncology
طب الأمراض الروماتيزمية;Medicine rheumatic diseases
علم وظائف الأعضاء وبيولوجية التكوين;Member functions and biological science configuration
الإعاقة العقلية;Mental handicap
التخلف العقلي;Mental retardation
التفوق العقلي والموهبة;Mental superiority and talent
المعادن والمجوهرات;Metal jewelry
طرق تدريس لغة عربية;Methods of Teaching Arabic Language
طرق تدريس لغة إنجليزية;Methods of Teaching English
طرق تدريس اللغة الإنجليزية;Methods of Teaching English
طرق تدريس العلوم الشرعية;Methods of teaching forensic science
طرق تدريس تربية إسلامية;Methods of teaching Islamic education
طرق تدريس رياضيات;Methods of Teaching Mathematics
طرق تدريس الرياضيات;Methods of Teaching Mathematics
طرق تدريس التربية البدنية;Methods of teaching physical education
طرق تدريس علوم;Methods of Teaching Science
طرق تدريس العلوم;Methods of Teaching Science
طرق تدريس المواد الاجتماعية;Methods of teaching social studies
طرق تدريس اجتماعيات;Methods of teaching social workers
طرق تدريس اللغة العربية;Methods of teaching the Arabic language
أحياء دقيقة;Microbiology
علم الكائنات الدقيقة;Microbiology
القبالة;Midwifery
أحياء دقيقة ـ بكتيريا;Minute bacteria alive
أحياء دقيقة ـ فيروسات;Minute viruses neighborhoods
محضري المختبرات;Minutes of laboratories
تاريخ حديث;Modern history
علوم الحديث;Modern Science
علوم الحركة;Movement Science
الوسائط المتعددة وتقنيات الويب;Multimedia and Web Technologies
تمريض باطني وجراحي;Mystical and surgical nursing
التاريخ الوطني للملكة العربية السعودية;National History of Saudi Arabia
النواتج الطبيعية;Natural Products
العلاج الطبيعي;Natural therapy
أمراض الأطفال حديثي الولادة;Neonatal diseases
إدارة الشبكات;Network Management
إدارة أنظمة الشبكات;Network Systems Management
هندسة الشبكات والاتصالات;Networking and Communications Engineering
شبكات;Networks
شبكات ;Networks
طب الأعصاب;Neurology
طب أمراض الأعصاب لدى الأطفال;Neurology diseases in children
جراحة المخ والأعصاب;Neurosurgery
مستجد حاسب ;Newcomer computer
مستجد الحاسبات وتقنية المعلومات;Newcomer Computing and Information Technology
مستجد طب الأسنان;Newcomer Dentistry
مستجد اقتصاد وإدارة;Newcomer economy and management
مستجد هندسة;Newcomer Engineering
مستجد آداب;Newcomer etiquette
مستجد العلوم والآداب;Newcomer of Arts and Sciences
مستجد علوم ;Newcomer Sciences
مستجد أعمال;Newcomer work
أنظمة نيوماتية و هيدروليكية;Newmatah and hydraulic systems
الطب النووي;Nuclear medicine
هندسة القوى النووية;Nuclear Power Engineering
تمريض عام;Nursing
التمريض;Nursing
تمريض;Nursing
تمريض الحالات الحرجة;Nursing critical situations
إدارة تمريض;Nursing Management
إدارة التمريض;Nursing Management
علوم تمريض;Nursing Science
علوم التمريض;Nursing Science
