ARAB;ENG
الأرصاد والبيئة وزراعة المناطق الجافة;Meteorology, Environment and Arid Land Agriculture
الحاسبات وتقنية المعلومات;Computing and Information Technology
الطب;Medicine
التربية ;Education
العلوم;Science
الصيدلة;Pharmacy
طب الأسنان;dentistry
الهندسة;Engineering
تصاميم البيئة;Environmental Designs
علوم الأرض;geology
علوم البحار;sea ​​science
الاقتصاد المنزلي;Home Economics
التصاميم والفنون;Art and Design
الأعمال برابغ;Business (COB)
العلوم الطبية التطبيقية;Applied Medical Sciences
الإجمالي الكلي;total
جملة;Phrase
العلوم الهندسية;Engineering Sciences
تصاميم البيئة;Environmental Designs
علوم وهندسة الحاسب الآلي;Science and Computer Engineering
الإدارة الصناعية;Industrial Management
العلوم;Science
الإجمالي الكلي;total
جملة;Phrase
العلوم;Science
إدارة الأعمال;Business Management
التربية;Education
الآداب;Arts
العلوم الزراعية والأغذية;Agricultural and Food Sciences
الطب البيطري والثروة الحيوانية;Veterinary Medicine and Animal Resources
الإجمالي الكلي;total
جملة;Phrase
الشريعة وأصول الدين;Sharia and Fundamentals of Religion
العلوم الإنسانية;Humanities
العلوم;Science
التربية;Education
اللغات والترجمة;Languages ​​and Translation
الإجمالي الكلي;total
جملة;Phrase
الزراعة والطب البيطري;Agriculture and Veterinary Medicine
الحاسب الآلي;computer
الشريعة والدراسات الإسلامية;Sharia and Islamic Studies
العلوم;Science
اللغة العربية والدراسات الإجتماعية;Arabic Language and Social Studies
الاقتصاد والإدارة ;Economics and Management
التربية;Education
عمادة خدمة المجتمع ببريدة;Deanship of community service Buraidah
الإجمالي الكلي;total
جملة;Phrase
العلوم;Science
التربية;Education
الآداب والعلوم الإنسانية;Arts and Humanities
المعهد العالي للأئمة والخطباء;Higher Institute of Imams and Preachers
الإجمالي الكلي;total
جملة;Phrase
التربية;Education
الآداب;Arts
العلوم;Science
الشريعة والأنظمة;Law and regulations
العلوم الإدارية والمالية;Administrative and Financial Sciences
الإجمالي الكلي;total
جملة;Phrase
الطب بالرياض;Medicine Riyadh
الصحة العامة والمعلوماتية الصحية بالرياض;Public Health and Health Informatics in Riyadh
الإجمالي الكلي;total
جملة;Phrase
الآداب والفنون;Literature and the arts
التربية;Education
الإجمالي الكلي;total
جملة;Phrase
العلوم;Science
التربية والآداب;Education and Arts
الإجمالي الكلي;total
جملة;Phrase
التربية;Education
العلوم المالية والإدارية;Financial and Administrative Sciences
العلوم والآداب الإنسانية;Humanities and Arts
الإجمالي الكلي;total
جملة;Phrase
العلوم والآداب;Arts and Sciences
التربية;Education
الإجمالي الكلي;total
جملة;Phrase
عمادة خدمة المجتمع والتعليم المستمر;Deanship of Community Service and Continuing Education
الإجمالي الكلي;total
جملة;Phrase
الطب بالدمام;Medicine Dammam
العمارة والتخطيط;Architecture and Planning
العلوم الطبية التطبيقية;Applied Medical Sciences
التمريض;Nursing
العلوم بالدمام;Science Dammam
الآداب بالدمام;Arts in Dammam
الإجمالي الكلي;total
جملة;Phrase
العلوم الإدارية والمالية;Administrative and Financial Sciences
الإجمالي الكلي;total
جملة;Phrase
جملة;Phrase
برنامج الدراسات العليا;Graduate Program
الإجمالي الكلي;total
جملة;Phrase
التربية;Education
الإجمالي الكلي;total
جملة;Phrase
إدارة الأعمال;Business Management
الآداب والعلوم;Arts and Sciences
الإجمالي الكلي;total
جملة;Phrase
إدارة  الأعمال;Business Management
كلية الطب البشري;College of Human Medicine
الإجمالي الكلي;total
جملة;Phrase
إدارة الأعمال;Business Management
الإجمالي الكلي;total
جملة;Phrase
إدارة الأعمال;Business Management
الإجمالي الكلي;total
جملة;Phrase
إدارة الأعمال;Business Management
الحقوق;Rights
الإجمالي الكلي;total
جملة;Phrase
الأعمال والإدارة;Business and Management
الإجمالي الكلي;total
جملة;Phrase
دار الحكمة لإدارة الأعمال;Dar al-Hikma of Business
الإجمالي الكلي;total
جملة;Phrase
كلية إدارة الأعمال الأهلية;Community College of Business Administration
الإجمالي الكلي;total
جملة;Phrase
الرياض لطب الأسنان ;Riyadh Dental
الرياض لصيدلة والعلوم الطبية;Riyadh for the pharmaceutical industry and medical science
الإجمالي الكلي;total
جملة;Phrase
الأمير سلطان للسياحة والإدارة بجدة;Prince Sultan for Tourism and Administration in Jeddah
الإجمالي الكلي;total
جملة;Phrase
كليات الشرق العربي للدراسات العليا;Arab East Graduate Studies and colleges
الإجمالي الكلي;total
جملة;Phrase
جملة;Phrase
معهد الإدارة العامة;General Administration Institute
الإجمالي الكلي ;total
جملة;Phrase
كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران ;Prince Sultan Military College of Health Sciences in Dhahran
الإجمالي الكلي;total
جملة;Phrase
جملة;Phrase
